////
//// This file was autogenerated by openCONFIGURATOR-2.2.1_release on 11-Jun-2018 17:13:38
//// Project:	Demo_RMN_3CN
//// NodeCount:	6
////
00000041
//// NodeId Assignment
1F81	01	00000004	00000007
//// NodeId Assignment
1F81	20	00000004	00000007
//// NodeId Assignment
1F81	6E	00000004	00000007
//// NodeId Assignment
1F81	F1	00000004	00000003
//// NodeId Assignment
1F81	F2	00000004	00000003
//// NodeId Assignment
1F81	F3	00000004	00000003

1600	00	00000001	00
1601	00	00000001	00
1602	00	00000001	00
1A00	00	00000001	00
1A01	00	00000001	00
1A02	00	00000001	00
1006	00	00000004	0000C350
1C02	01	00000004	00000028
1C02	03	00000004	00000028
1C09	01	00000004	00000028
1C09	20	00000004	00000028
1C09	6E	00000004	00000028
1C14	00	00000004	02FAF080
1F26	01	00000004	00003124
1F26	20	00000004	00003124
1F26	6E	00000004	00003124
1F26	F1	00000004	00003124
1F26	F2	00000004	00003124
1F26	F3	00000004	00003124
1F27	01	00000004	03B2520A
1F27	20	00000004	03B2520A
1F27	6E	00000004	03B2520A
1F27	F1	00000004	03B2520A
1F27	F2	00000004	03B2520A
1F27	F3	00000004	03B2520A
1F80	00	00000004	00004800
1F92	01	00000004	00030D40
1F92	20	00000004	00030D40
1F92	6E	00000004	00030D40
1F92	F1	00000004	00006978
1F92	F2	00000004	00006978
1F92	F3	00000004	00006978
1400	01	00000001	01
1401	01	00000001	20
1402	01	00000001	6E
1600	01	00000008	000800000001A4C0
1601	01	00000008	000800000002A4C0
1602	01	00000008	000800000003A4C0
1800	01	00000001	01
1801	01	00000001	20
1802	01	00000001	6E
1A00	01	00000008	000800000001A040
1A01	01	00000008	000800000002A040
1A02	01	00000008	000800000003A040
1600	00	00000001	01
1601	00	00000001	01
1602	00	00000001	01
1A00	00	00000001	01
1A01	00	00000001	01
1A02	00	00000001	01

////Configuration Data for CN: CN_1(1)
1F22	01	00000096
0000000E
1600	00	00000001	00
1A00	00	00000001	00
1006	00	00000004	0000C350
1020	01	00000004	00003124
1020	02	00000004	03B2520A
1C0B	03	00000004	00000050
1C0D	03	00000004	00000050
1C14	00	00000004	02FAF080
1F98	04	00000002	0024
1F98	05	00000002	0024
1600	01	00000008	0008000000016200
1A00	01	00000008	0008000000016000
1600	00	00000001	01
1A00	00	00000001	01

////Configuration Data for CN: CN_2(32)
1F22	20	00000096
0000000E
1600	00	00000001	00
1A00	00	00000001	00
1006	00	00000004	0000C350
1020	01	00000004	00003124
1020	02	00000004	03B2520A
1C0B	03	00000004	00000050
1C0D	03	00000004	00000050
1C14	00	00000004	02FAF080
1F98	04	00000002	0024
1F98	05	00000002	0024
1600	01	00000008	0008000000016200
1A00	01	00000008	0008000000016000
1600	00	00000001	01
1A00	00	00000001	01

////Configuration Data for CN: CN_3(110)
1F22	6E	00000096
0000000E
1600	00	00000001	00
1A00	00	00000001	00
1006	00	00000004	0000C350
1020	01	00000004	00003124
1020	02	00000004	03B2520A
1C0B	03	00000004	00000050
1C0D	03	00000004	00000050
1C14	00	00000004	02FAF080
1F98	04	00000002	0024
1F98	05	00000002	0024
1600	01	00000008	0008000000016200
1A00	01	00000008	0008000000016000
1600	00	00000001	01
1A00	00	00000001	01

////Configuration Data for RMN: RMN 1(241)
1F22	F1	00000285
0000003D
1F81	01	00000004	00000007
1F81	20	00000004	00000007
1F81	6E	00000004	00000007
1F81	F1	00000004	00000003
1F81	F2	00000004	00000003
1F81	F3	00000004	00000003
1600	00	00000001	00
1601	00	00000001	00
1602	00	00000001	00
1A00	00	00000001	00
1A01	00	00000001	00
1A02	00	00000001	00
1006	00	00000004	0000C350
1020	01	00000004	00003124
1020	02	00000004	03B2520A
1C02	01	00000004	00000028
1C02	03	00000004	00000028
1C09	01	00000004	00000028
1C09	20	00000004	00000028
1C09	6E	00000004	00000028
1C14	00	00000004	02FAF080
1F26	01	00000004	00003124
1F26	20	00000004	00003124
1F26	6E	00000004	00003124
1F26	F1	00000004	00003124
1F26	F2	00000004	00003124
1F26	F3	00000004	00003124
1F27	01	00000004	03B2520A
1F27	20	00000004	03B2520A
1F27	6E	00000004	03B2520A
1F27	F1	00000004	03B2520A
1F27	F2	00000004	03B2520A
1F27	F3	00000004	03B2520A
1F80	00	00000004	00004800
1F92	01	00000004	00030D40
1F92	20	00000004	00030D40
1F92	6E	00000004	00030D40
1F92	F1	00000004	00006978
1F92	F2	00000004	00006978
1F92	F3	00000004	00006978
1400	01	00000001	01
1401	01	00000001	20
1402	01	00000001	6E
1600	01	00000008	000800000001A4C0
1601	01	00000008	000800000002A4C0
1602	01	00000008	000800000003A4C0
1800	01	00000001	01
1801	01	00000001	20
1802	01	00000001	6E
1A00	01	00000008	000800000001A040
1A01	01	00000008	000800000002A040
1A02	01	00000008	000800000003A040
1600	00	00000001	01
1601	00	00000001	01
1602	00	00000001	01
1A00	00	00000001	01
1A01	00	00000001	01
1A02	00	00000001	01
1F81	01	00000004	80000007
1F81	20	00000004	80000007
1F81	6E	00000004	80000007

////Configuration Data for RMN: RMN 2(242)
1F22	F2	00000285
0000003D
1F81	01	00000004	00000007
1F81	20	00000004	00000007
1F81	6E	00000004	00000007
1F81	F1	00000004	00000003
1F81	F2	00000004	00000003
1F81	F3	00000004	00000003
1600	00	00000001	00
1601	00	00000001	00
1602	00	00000001	00
1A00	00	00000001	00
1A01	00	00000001	00
1A02	00	00000001	00
1006	00	00000004	0000C350
1020	01	00000004	00003124
1020	02	00000004	03B2520A
1C02	01	00000004	00000028
1C02	03	00000004	00000028
1C09	01	00000004	00000028
1C09	20	00000004	00000028
1C09	6E	00000004	00000028
1C14	00	00000004	02FAF080
1F26	01	00000004	00003124
1F26	20	00000004	00003124
1F26	6E	00000004	00003124
1F26	F1	00000004	00003124
1F26	F2	00000004	00003124
1F26	F3	00000004	00003124
1F27	01	00000004	03B2520A
1F27	20	00000004	03B2520A
1F27	6E	00000004	03B2520A
1F27	F1	00000004	03B2520A
1F27	F2	00000004	03B2520A
1F27	F3	00000004	03B2520A
1F80	00	00000004	00004800
1F92	01	00000004	00030D40
1F92	20	00000004	00030D40
1F92	6E	00000004	00030D40
1F92	F1	00000004	00006978
1F92	F2	00000004	00006978
1F92	F3	00000004	00006978
1400	01	00000001	01
1401	01	00000001	20
1402	01	00000001	6E
1600	01	00000008	000800000001A4C0
1601	01	00000008	000800000002A4C0
1602	01	00000008	000800000003A4C0
1800	01	00000001	01
1801	01	00000001	20
1802	01	00000001	6E
1A00	01	00000008	000800000001A040
1A01	01	00000008	000800000002A040
1A02	01	00000008	000800000003A040
1600	00	00000001	01
1601	00	00000001	01
1602	00	00000001	01
1A00	00	00000001	01
1A01	00	00000001	01
1A02	00	00000001	01
1F81	01	00000004	80000007
1F81	20	00000004	80000007
1F81	6E	00000004	80000007

////Configuration Data for RMN: RMN 3(243)
1F22	F3	00000285
0000003D
1F81	01	00000004	00000007
1F81	20	00000004	00000007
1F81	6E	00000004	00000007
1F81	F1	00000004	00000003
1F81	F2	00000004	00000003
1F81	F3	00000004	00000003
1600	00	00000001	00
1601	00	00000001	00
1602	00	00000001	00
1A00	00	00000001	00
1A01	00	00000001	00
1A02	00	00000001	00
1006	00	00000004	0000C350
1020	01	00000004	00003124
1020	02	00000004	03B2520A
1C02	01	00000004	00000028
1C02	03	00000004	00000028
1C09	01	00000004	00000028
1C09	20	00000004	00000028
1C09	6E	00000004	00000028
1C14	00	00000004	02FAF080
1F26	01	00000004	00003124
1F26	20	00000004	00003124
1F26	6E	00000004	00003124
1F26	F1	00000004	00003124
1F26	F2	00000004	00003124
1F26	F3	00000004	00003124
1F27	01	00000004	03B2520A
1F27	20	00000004	03B2520A
1F27	6E	00000004	03B2520A
1F27	F1	00000004	03B2520A
1F27	F2	00000004	03B2520A
1F27	F3	00000004	03B2520A
1F80	00	00000004	00004800
1F92	01	00000004	00030D40
1F92	20	00000004	00030D40
1F92	6E	00000004	00030D40
1F92	F1	00000004	00006978
1F92	F2	00000004	00006978
1F92	F3	00000004	00006978
1400	01	00000001	01
1401	01	00000001	20
1402	01	00000001	6E
1600	01	00000008	000800000001A4C0
1601	01	00000008	000800000002A4C0
1602	01	00000008	000800000003A4C0
1800	01	00000001	01
1801	01	00000001	20
1802	01	00000001	6E
1A00	01	00000008	000800000001A040
1A01	01	00000008	000800000002A040
1A02	01	00000008	000800000003A040
1600	00	00000001	01
1601	00	00000001	01
1602	00	00000001	01
1A00	00	00000001	01
1A01	00	00000001	01
1A02	00	00000001	01
1F81	01	00000004	80000007
1F81	20	00000004	80000007
1F81	6E	00000004	80000007

//// NodeId Reassignment
1F81	01	00000004	80000007
//// NodeId Reassignment
1F81	20	00000004	80000007
//// NodeId Reassignment
1F81	6E	00000004	80000007
